sku,product_name,category_id,category_name,category_path
10027156,Холодильник NORDFROST NR 403 E,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10027157,Холодильник NORDFROST NR 508 W,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10027158,Холодильник NORDFROST NR 403 W,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10029156,"Кофемолка SMEG CGF01RDEU с коническими жерновами, красный",90598,Кофемолки электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Кофемолки
10029258,Вентилятор Gembird 17607 черный 92мм 2500rpm 22.5db 3-pin,818965,Кулеры и системы охлаждения для компьютеров,Все товары / Компьютерная техника / Комплектующие / Кулеры и системы охлаждения
1004079,Швейная машина Jaguar GT-8 белый,242704,Швейные машины,Все товары / Бытовая техника / Техника для дома / Швейное оборудование / Швейные машины
10044554,Холодильник HISENSE RR220D4AR2,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10044677,"Джиггер ""Шар"" удлиненное цевье (Eagle Claw) 26гр. (10шт) (SFish)",65343852,Джиг-головки,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Оснастка / Джиг-головки
10044702,"Джиггер ""Шар"" (Eagle Claw) 36гр. (10шт) (SFish)",65343852,Джиг-головки,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Оснастка / Джиг-головки
10044879,"Кресло игровое Бюрократ VIKING 2 AERO ORANGE черный/оранжевый, искусст.кожа/ткань",10785222,Компьютерные кресла,Все товары / Товары для дома / Мебель / Столы и стулья / Компьютерные кресла
10045164,Коммутатор GSW-1601 неуправляемый  для монтажа в стойку 16-Port 10/100/1000Mbps Gigabit Ethernet Switch,70296630,Коммутаторы,Все товары / Компьютерная техника / Сетевое оборудование / Проводные роутеры (маршрутизаторы) и коммутаторы / Коммутаторы
10045184,Память оперативная Crucial SODIMM 32GB DDR4 2666 MT/s (PC4-21300) CL19 DR x8 Unbuffered 260pin,191211,Оперативная память,Все товары / Компьютерная техника / Комплектующие / Оперативная память
10045790,"Монитор 27"" Philips 271E1CA/00 Black (VA, изогнутый, 1920x1080, 75Hz, 4 ms, 178°/178°, 250 cd/m, Mega DCR, +HDMI, +MM, F",91052,Мониторы,Все товары / Компьютерная техника / Периферийные устройства / Мониторы
10045812,Видеокарта MSI PCI-E GTX 1650 D6 GAMING X nVidia GeForce GTX 1650 4096Mb 128bit GDDR6 1485/8000/HDMIx1/DPx2/HDCP Ret,91031,Видеокарты,Все товары / Компьютерная техника / Комплектующие / Видеокарты
10045943,Корпус без блока питания Thermaltake Case Core P3 TG,91028,Компьютерные корпуса,Все товары / Компьютерная техника / Комплектующие / Корпуса
10046304,"Набор грузов (0,2-0,5-0,6-0,75-1,4г.) 120г.(Пирс)",65341164,Грузы рыболовные,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Оснастка / Грузы рыболовные
10046305,"Набор грузов (0,2-0,5-0,55-0,6-0,75-1,4) 70г. (Пирс)",65341164,Грузы рыболовные,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Оснастка / Грузы рыболовные
10046306,"Набор грузов (0,2-0,5-0,55-0,6-0,75г.) 100г.(Пирс)",65341164,Грузы рыболовные,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Оснастка / Грузы рыболовные
10046582,Холодильник Liebherr B 2830 белый (однокамерный),70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
